DAY,N020,NO21,NOMEAN,NOMIN,NOMAX,N0220,NO221,NO2MEAN,NO2MIN,NO2MAX,SO220,SO221,SO2MEAN,SO2MIN,SO2MAX,PM25MEAN,PM25MIN,PM25MAX,PM2520
1-Mar,43,19,36,14,68,49,41,56,49,67,0,2,5,4,8,19.34,10.33,30.46,23.13
2-Mar,58,10,23,8,39,48,29,50,45,57,0,2,5,2,8,15.57,11.00,22.44,12.38
3-Mar,55,19,36,13,73,48,42,51,38,70,0,2,8,4,10,12.13,8.75,16.92,13.67
4-Mar,15,62,32,10,44,45,67,52,32,68,0,7,7,3,8,18.54,6.83,29.63,15.25
5-Mar,42,70,47,12,71,50,66,54,41,62,0,4,7,4,8,21.14,8.88,28.33,21.88
6-Mar,63,10,22,12,38,50,49,50,39,62,0,2,6,4,9,24.81,19.38,35.58,19.83
7-Mar,34,0,34,18,62,43,0,49,37,59,0,0,5,3,7,23.70,10.63,38.29,19.08
8-Mar,10,4,28,8,81,34,35,46,36,61,0,2,4,2,6,19.52,14.63,32.88,10.50
9-Mar,23,16,32,17,57,48,48,59,56,63,0,3,5,2,9,17.75,8.29,22.17,10.96
10-Mar,18,31,23,8,36,48,56,50,35,58,0,4,5,3,6,13.96,7.38,30.92,16.92
11-Mar,84,7,15,8,29,56,27,42,28,56,0,3,5,3,6,17.99,9.63,39.17,12.63
12-Mar,69,14,24,14,37,50,39,43,35,48,0,3,4,2,5,17.46,12.38,22.71,19.58
13-Mar,117,47,18,6,40,52,54,41,30,59,0,4,4,2,6,19.11,16.25,24.71,8.71
14-Mar,101,12,17,6,31,53,39,40,24,56,0,3,3,2,5,16.23,6.88,25.33,11.04
15-Mar,34,6,19,9,30,35,20,45,37,58,0,4,3,2,5,13.14,7.92,19.13,25.00
16-Mar,4,5,46,14,78,25,21,57,36,69,0,4,5,2,7,13.45,8.13,23.08,21.92
17-Mar,15,8,46,21,80,34,28,55,45,64,0,5,5,3,9,19.91,8.08,37.46,14.50
18-Mar,62,9,31,11,55,46,31,49,39,57,0,4,4,3,6,20.92,12.75,32.25,21.08
19-Mar,8,11,23,7,31,33,41,48,39,59,0,3,4,2,6,19.74,17.33,25.08,20.33
20-Mar,59,12,52,9,79,50,39,54,42,76,0,2,7,4,10,24.67,17.00,41.83,7.96
21-Mar,42,7,39,5,66,48,29,55,27,76,0,3,7,3,13,26.14,11.50,36.13,9.38
22-Mar,21,7,22,7,40,35,32,49,31,61,0,4,4,3,7,22.78,8.92,34.29,20.38
23-Mar,28,12,23,7,59,37,31,47,34,75,0,2,4,3,6,34.89,16.63,75.46,10.79
24-Mar,17,6,21,4,69,29,22,43,28,80,0,2,4,3,6,17.08,13.88,22.25,22.71
25-Mar,5,3,26,4,85,18,17,43,27,74,0,2,6,3,11,11.90,8.92,14.32,28.58
26-Mar,8,33,29,10,62,25,52,51,36,68,0,4,4,2,7,17.04,8.75,28.33,28.92
27-Mar,14,27,19,8,37,30,53,43,34,53,0,3,4,2,6,18.53,14.83,22.75,23.29
28-Mar,19,27,15,9,22,26,52,45,37,57,0,4,5,4,6,26.01,13.96,58.91,7.04
29-Mar,16,49,25,6,64,29,63,45,24,59,0,4,5,3,7,23.24,13.29,31.46,7.92
30-Mar,50,8,27,3,62,39,33,52,21,67,0,2,6,5,7,21.78,13.67,31.42,10.92
31-Mar,11,8,28,4,69,36,28,43,25,56,0,2,4,3,5,19.06,13.79,29.58,8.33
1-Apr,10,25,21,3,46,32,49,42,22,54,0,2,5,3,7,17.51,11.25,25.25,10.04
2-Apr,6,81,22,8,34,29,66,51,41,63,0,5,5,4,7,19.21,12.25,26.63,19.57
3-Apr,9,10,27,10,52,32,43,56,40,70,2,3,5,4,7,15.05,11.42,20.79,25.29
4-Apr,5,3,23,8,46,24,23,59,45,74,3,3,8,6,11,14.53,8.92,18.96,20.13
5-Apr,6,23,39,21,54,20,42,68,56,82,3,2,10,8,11,20.25,15.77,28.75,21.25
6-Apr,5,13,28,8,58,27,34,55,36,73,2,4,10,7,11,21.50,17.08,33.42,8.13
7-Apr,4,5,24,8,60,24,27,53,38,82,2,3,7,3,10,23.39,16.63,33.67,8.88
8-Apr,2,9,13,5,21,24,35,43,29,53,2,2,4,2,6,20.99,14.46,25.29,9.79
9-Apr,8,6,9,5,16,34,28,39,33,52,2,2,5,3,6,16.25,12.08,26.00,4.13
